# Tag name          ;  color
Auburn PD1          ; #c0c0c0
Placer County Fire  ; #c0c0c0
NOAA                ; #c0c0c0
CalFire for El Dorado county; #c0c0c0
Auburn Police       ; #c0c0c0
KAUN AWOS           ; #c0c0c0
NORCAL APPROACH     ; #c0c0c0
Placer Sheriff      ; #c0c0c0
El Dorado Sherrif Dispatch West Slope; #c0c0c0
KPVF CTAF           ; #c0c0c0
Dunno who these folks are.; #c0c0c0
KAUN CTAF           ; #c0c0c0
KSAC EXEC CTAF      ; #c0c0c0
NORCAL APPRCH KSAC  ; #c0c0c0
KPVF AWOS           ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
   119375000; KAUN AWOS                ; Narrow FM           ;      10000; KAUN AWOS
   119500000; KSAC EXEC CTAF           ; AM                  ;      10000; KSAC EXEC CTAF
   122700000; KAUN CTAF                ; Narrow FM           ;      10000; KAUN CTAF
   122800000; KPVF CTAF                ; AM                  ;      10000; KPVF CTAF
   125400000; NORCAL APRCH             ; Narrow FM           ;      10000; NORCAL APPROACH
   127400000; NORCAL APPRCH KSAC       ; AM                  ;      10000; NORCAL APPRCH KSAC
   128125000; KPVF AWOS                ; AM                  ;      10000; KPVF AWOS
   153815000; Auburn PD2               ; Narrow FM           ;      10000; Auburn Police
   154355000; Placer Fire Dispatch     ; Narrow FM           ;      10000; Placer County Fire
   154650000; AUBURN PD1               ; Narrow FM           ;      10000; Auburn PD1
   155190000; Auburn JAIL              ; Narrow FM           ;      10000; Auburn PD1
   155201400; SOMESHIT                 ; Narrow FM           ;      10000; Dunno who these folks are.
   155902500; CALFIRE ELDO             ; Narrow FM           ;      10000; CalFire for El Dorado county
   156240000; Placer FIRE CMD          ; Narrow FM           ;      10000; Placer County Fire
   159555000; ELDOSHRF1                ; Narrow FM           ;      10000; El Dorado Sherrif Dispatch West Slope
   159600000; ELDOSHRF2                ; Narrow FM           ;      10000; El Dorado Sherrif Dispatch West Slope
   160545000; Placer Sheriff West      ; Narrow FM           ;      10000; Placer Sheriff
   161505000; Placer Sheriff E         ; Narrow FM           ;      10000; Placer Sheriff
   162550000; NOAA                     ; AM                  ;      10000; NOAA
